System,Year,Site,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,MNWH,RNTR,SLSC,BLTR #/100m,,,BLTR_100m
Kakwa,1983,1002219,PRAIRIE CREEK,247327.8206,6009340.822,300,1,1,4,,,,,,0.333333333
Kakwa,1983,1002230,UNNAMED,270408.8701,6025176.846,300,,1,,,1,,,,0.333333333
Kakwa,1983,1002233,UNNAMED,255949.7319,6021325.75,900,2,,,,,,,,0
Kakwa,1983,1038519,UNNAMED,253371.7675,6029603.679,300,,,,9,,,,,0
Kakwa,,Grand Total,,,,,3,2,4,9,1,0.166666667,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,1984,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,MNWH,SLSC,BLTR #/100m,,,,
Kakwa,1984,1002484,CHICKEN CREEK,212825.9084,6024400.596,300,,1,,1,,,,,0.333333333
Kakwa,1984,1002495,REDROCK CREEK,218125.3365,6036099.346,300,8,1,,1,,,,,0.333333333
Kakwa,1984,1002511,UNNAMED,232161.4783,6023185.021,300,,13,,,,,,,4.333333333
Kakwa,1984,1002514,UNNAMED,232019.6391,6007058.793,300,1,,,1,,,,,0
Kakwa,1984,1002517,UNNAMED,245816.9656,6031409.728,300,1,,,1,,,,,0
Kakwa,1984,1002520,UNNAMED,264858.6375,6026151.583,300,3,,2,1,,,,,0
Kakwa,1984,1002521,UNNAMED,269260.5794,6035183.113,300,7,,,,,,,,0
Kakwa,1984,1002522,LITTLE REDROCK CREEK,226777.9028,6024905.367,300,3,1,,1,,,,,0.333333333
Kakwa,1984,1002523,UNNAMED,239759.9413,6021194.136,300,9,1,,1,,,,,0.333333333
Kakwa,,Grand Total,,,,,32,17,2,7,0.62962963,,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,1994,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),BURB,LKCH,RNTR,WHSC,,,,,
Kakwa,1994,1002882,UNNAMED,272179.1295,6049532.589,174,1,1,58,1,,,,,0
Kakwa,,,,,,217,,,10,1,,,,,0
Kakwa,,Grand Total,,,,,1,1,68,2,,,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,1995,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,MNWH,RNTR,SLSC,WHSC,BLTR #/100m,,
Kakwa,1995,1001171,CHICKEN CREEK,213437.1784,6025573.299,323,,1,1,,1,,,,0.309597523
Kakwa,1995,1001172,CHICKEN CREEK,216296.36,6029302.048,184,,2,,,,,,,1.086956522
Kakwa,1995,1001175,COPTON CREEK,204370.7985,6001588.613,298,,,,,1,,,,0
Kakwa,1995,1001203,HAT CREEK,196709.0274,6016469.664,385,,,1,1,1,,,,0
Kakwa,1995,1001215,LYNX CREEK,197541.1657,6015654.628,187,,1,1,1,1,,,,0.534759358
Kakwa,1995,1001458,UNNAMED,193868.7796,6016991.889,191,3,1,5,1,1,,,,0.523560209
Kakwa,1995,1001488,UNNAMED,231428.6429,6023598.163,265,,19,,,,,,,7.169811321
Kakwa,1995,1001518,UNNAMED,239977.3903,6020994.26,311,14,1,,,1,1,,,0.321543408
Kakwa,1995,1001519,UNNAMED,238714.4872,6024633.19,309,6,,,2,1,,,,0
Kakwa,,Grand Total,,,,,23,25,8,5,7,1,1.105136482,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,1996,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BKTR,BLTR,LNSC,MNWH,RNTR,SLSC,BLTR #/100m,
Kakwa,1996,1001232,PRAIRIE CREEK,225930.4144,6003123.847,280,,,2,,,,,,0.714285714
Kakwa,1996,1001233,PRAIRIE CREEK,229039.2702,6006170.432,350,1,,1,,3,,,,0.285714286
Kakwa,1996,1001235,UNNAMED,247566.2011,6009636.851,400,1,,1,,1,1,,,0.25
Kakwa,1996,1001439,UNNAMED,247836.8416,6008201.165,250,,,4,,,,,,1.6
Kakwa,1996,1001441,UNNAMED,257201.973,6011949.542,250,2,,1,,,,,,0.4
Kakwa,1996,1001442,UNNAMED,252213.8825,6009609.951,390,,,5,,,,,,1.282051282
Kakwa,1996,1001443,UNNAMED,252269.7046,6011325.066,430,6,,3,,1,,,,0.697674419
Kakwa,1996,1001455,UNNAMED,228918.764,6006563.913,400,,,3,,2,,,,0.75
Kakwa,1996,1001476,UNNAMED,259755.9333,6018866.434,270,,,1,,,9,,,0.37037037
Kakwa,1996,1001477,UNNAMED,265760.5706,6022028.73,330,4,,,,,,1,,0
Kakwa,1996,1001478,UNNAMED,270408.8701,6025176.846,280,3,,2,,,,1,,0.714285714
Kakwa,1996,1001497,UNNAMED,231595.8112,6001600.527,375,1,,4,,1,,,,1.066666667
Kakwa,1996,1002602,BEAVERDAM CREEK,219007.3749,6003209.757,150,,,4,,,,1,,2.666666667
Kakwa,1996,1002616,BEAVERDAM CREEK,218619.575,6002364.789,203,1,,9,,,2,1,,4.433497537
Kakwa,1996,1002627,BEAVERDAM CREEK,218524.2893,5995536.449,157,,,2,,,,1,,1.27388535
Kakwa,1996,1002632,BEAVERDAM CREEK,218520.9932,5995539.438,203,,,3,,,,,,1.477832512
Kakwa,1996,1002650,CAW CREEK,205927.6104,5999367.417,210,,,4,,,,,,1.904761905
Kakwa,1996,1002655,CAW CREEK,208278.0389,5996736.724,150,,,27,,,,,,18
Kakwa,1996,1002673,CAW CREEK,213875.1061,5995049.424,158,,,1,,,,,,0.632911392
Kakwa,1996,1002761,UNNAMED,216088.266,5998453.487,180,,6,1,,,,,,0.555555556
Kakwa,1996,1003620,HAT CREEK,195624.2156,6019431.365,433,2,,,,,3,,,0
Kakwa,1996,1003665,LYNX CREEK,197541.2943,6015671.469,634,,,74,,21,9,,,11.67192429
Kakwa,1996,1029206,LYNX CREEK,199464.5532,6015632.544,451,2,,4,1,27,13,,,0.88691796
Kakwa,,Grand Total,,,,,23,6,156,1,56,37,5,2.24500007,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,1997,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,MNWH,SLSC,BLTR #/100m,,,,
Kakwa,1996,1001234,PRAIRIE CREEK,229501.2306,6006692.798,235,1,,,,,,,,0
Kakwa,1996,1001327,UNNAMED,224195.6216,6026087.432,200,2,6,,,,,,,3
Kakwa,1996,1001332,UNNAMED,229409.1371,6003562.978,225,,6,,,,,,,2.666666667
Kakwa,1996,1001333,UNNAMED,230502.7487,6004502.698,250,,1,,,,,,,0.4
Kakwa,1996,1001341,UNNAMED,240742.5839,6004365.592,200,,3,,,,,,,1.5
Kakwa,1996,1002602,BEAVERDAM CREEK,219007.3749,6003209.757,185,,5,4,6,,,,,2.702702703
Kakwa,1996,1002614,BEAVERDAM CREEK,217599.0572,6001134.817,250,,1,,3,,,,,0.4
Kakwa,1996,1002619,BEAVERDAM CREEK,217723.7,5998296.664,200,,,,4,,,,,0
Kakwa,1996,1002632,BEAVERDAM CREEK,218520.9932,5995539.438,160,,1,,,,,,,0.625
Kakwa,1996,1002655,CAW CREEK,208278.0389,5996736.724,200,,2,,,,,,,1
Kakwa,1996,1002719,LAFORCE CREEK,219612.7016,6003956.407,150,,1,,1,,,,,0.666666667
Kakwa,1996,1002769,UNNAMED,216572.9154,5999555.922,150,,6,,,,,,,4
Kakwa,1996,1002781,UNNAMED,217346.6647,6000266.577,300,,6,1,3,,,,,2
Kakwa,1996,1002783,UNNAMED,216464.4328,5999316.422,180,,5,,,,,,,2.777777778
Kakwa,1996,1002789,UNNAMED,216912.6883,6000061.074,150,,18,,,,,,,12
Kakwa,1996,1002796,UNNAMED,216586.2494,5998125.87,150,,4,,,,,,,2.666666667
Kakwa,1996,1002807,UNNAMED,218101.9364,5997025.166,150,,,,4,,,,,0
Kakwa,1996,1002827,UNNAMED,216226.0265,5998547.744,250,,13,,,,,,,5.2
Kakwa,1996,1002829,UNNAMED,215970.1233,5998341.296,200,,10,,,,,,,5
Kakwa,,Grand Total,,,,,3,88,5,21,2.452920025,,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,1998,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),BLTR,MNWH,SLSC,BLTR #/100m,,,,,
Kakwa,1998,1001450,UNNAMED,221784.3791,6013629.58,300,,21,,,,,,,0
Kakwa,1998,1002602,BEAVERDAM CREEK,219007.3749,6003209.757,150,1,8,15,,,,,,0.666666667
Kakwa,1998,1002647,COPTON CREEK,204301.6445,6001107.177,175,2,,2,,,,,,1.142857143
Kakwa,1998,1002686,COPTON CREEK,216236.2635,6004123.699,280,1,,11,,,,,,0.357142857
Kakwa,1998,1002687,COPTON CREEK,216437.9198,6004165.494,210,1,,8,,,,,,0.476190476
Kakwa,1998,1002688,COPTON CREEK,217651.2476,6004304.364,200,,,9,,,,,,0
Kakwa,1998,1002695,COPTON CREEK,216437.9198,6004165.494,180,1,,4,,,,,,0.555555556
Kakwa,1998,1002705,GRIZZLY CREEK,214991.2243,6003625.867,180,9,,6,,,,,,5
Kakwa,1998,1002758,UNNAMED,215896.7043,5998076.56,150,4,,,,,,,,2.666666667
Kakwa,,Grand Total,,,,,19,29,55,1.207231041,,,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,1999,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),BLTR,MNWH,RNTR,SLSC,BLTR #/100m,,,,
Kakwa,1999,1001183,DANIEL CREEK,218210.4533,6014664.326,270,2,1,1,1,,,,,0.740740741
Kakwa,1999,1003665,LYNX CREEK,197541.2943,6015671.469,628,50,31,10,,,,,,7.961783439
Kakwa,1999,1017860,BEAVERDAM CREEK,218898.6909,6003021.87,200,1,4,,3,,,,,0.5
Kakwa,1999,1017861,BEAVERDAM CREEK,218619.575,6002364.789,190,1,2,,3,,,,,0.526315789
Kakwa,1999,1017863,BEAVERDAM CREEK,217430.2979,6000013.512,220,2,,,15,,,,,0.909090909
Kakwa,1999,1017867,UNNAMED,216787.8716,5999859.49,150,13,,,,,,,,8.666666667
Kakwa,,Grand Total,,,,,69,38,11,22,3.217432924,,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,2000,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,LNDC,LNSC,MNWH,SLSC,BLTR #/100m,,
Kakwa,2000,1039592,DANIEL CREEK,209672.9265,6013846.88,142,,1,,,,6,,,0.704225352
Kakwa,2000,1039593,ADELADE CREEK,215674.5482,6004754.952,230,,2,,,,10,,,0.869565217
Kakwa,2000,1039594,COPTON CREEK,202290.5838,5998436.449,221,,14,,,,,,,6.334841629
Kakwa,2000,1039595,CAW CREEK,210390.145,5995627.107,221,,7,,,,,,,3.167420814
Kakwa,2000,1039598,DANIEL CREEK,212224.4631,6013823.096,147,,1,,,,,,,0.680272109
Kakwa,2000,1039600,ADELADE CREEK,213876.3677,6005952.606,149,,,,,,7,,,0
Kakwa,2000,1039601,DANIEL CREEK,213397.5267,6013299.996,160,,2,,,,,,,1.25
Kakwa,2000,1039603,UNNAMED,212685.9912,6001945.979,225,,23,,,,,,,10.22222222
Kakwa,2000,1039604,GRIZZLY CREEK,213259.7441,6002558.572,295,,12,,,,6,,,4.06779661
Kakwa,2000,1039605,GRIZZLY CREEK,210211.0358,6001662.212,244,,2,,,,,,,0.819672131
Kakwa,2000,1039606,GRIZZLY CREEK,212556.7332,6002269.935,314,,11,,,,8,,,3.503184713
Kakwa,2000,1039607,BEAVERDAM CREEK,217513.0946,6000152.546,298,,6,,,3,12,,,2.013422819
Kakwa,2000,1039609,PRAIRIE CREEK,225786.5982,6002607.821,221,,9,,,,23,,,4.07239819
Kakwa,2000,1039610,PRAIRIE CREEK,227565.9529,6004110.481,213,,3,,,,15,,,1.408450704
Kakwa,2000,1039611,UNNAMED,202639.5246,5996232.691,152,,29,,,,,,,19.07894737
Kakwa,2000,1039612,CAW CREEK,204760.3901,6000740.648,243,,9,,,,,,,3.703703704
Kakwa,2000,1039613,COPTON CREEK,203608.3551,5999962.92,241,,10,,,,,,,4.149377593
Kakwa,2000,1039614,DANIEL CREEK,217895.8888,6014376.015,239,,,,,3,1,,,0
Kakwa,2000,1039617,LAFORCE CREEK,221245.6982,6000428.099,270,,1,,,,9,,,0.37037037
Kakwa,2000,1039620,UNNAMED,219034.3232,6013580.578,150,,5,,,,,,,3.333333333
Kakwa,2000,1039621,UNNAMED,246253.0255,6026597.093,219,3,,,,,2,,,0
Kakwa,2000,1039628,REDROCK CREEK,221602.3044,6031190.072,150,,,,,,6,,,0
Kakwa,2000,1039629,REDROCK CREEK,223952.3556,6027294.794,206,2,,,,1,6,,,0
Kakwa,2000,1039630,UNNAMED,220872.9415,6026511.135,176,3,,,,3,,,,0
Kakwa,2000,1039631,REDROCK CREEK,219446.9193,6032696.033,338,3,2,,,,9,,,0.591715976
Kakwa,2000,1039632,UNNAMED,217567.6938,6038598.805,198,3,1,,,,15,,,0.505050505
Kakwa,2000,1039636,UNNAMED,247347.607,6018203.617,350,3,2,1,,,7,,,0.571428571
Kakwa,2000,1039637,UNNAMED,245984.3569,6029496.058,214,,,,,,19,,,0
Kakwa,2000,1039638,UNNAMED,241234.6194,6005502.958,214,2,4,,,,,,,1.869158879
Kakwa,2000,1039643,UNNAMED,239623.3292,6015391.672,231,,1,,,,,,,0.432900433
Kakwa,2000,1039645,UNNAMED,248534.3484,6016111.348,218,,,,,,23,,,0
Kakwa,2000,1039648,UNNAMED,231548.3719,6006211.37,401,,,,1,,22,,,0
Kakwa,2000,1039649,UNNAMED,231678.7937,6004066.762,183,,,,,,3,,,0
Kakwa,2000,1039650,UNNAMED,231762.8445,6001952.641,230,2,1,,,2,17,,,0.434782609
Kakwa,2000,1039651,UNNAMED,231540.6546,6001136.866,150,,,,,2,7,,,0
Kakwa,,Grand Total,,,,,21,158,1,1,14,233,2.118692624,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,2001,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,BURB,LNDC,LNSC,MNWH,RNTR,SLSC,
Kakwa,2000,1039653,UNNAMED,272179.1295,6049532.589,195,,,3,,,,,,0
Kakwa,2000,1039657,UNNAMED,239977.3903,6020994.26,165,2,,,,,,,1,0
Kakwa,2000,1039659,UNNAMED,217567.6938,6038598.805,166,,2,,,,,,,1.204819277
Kakwa,2000,1039660,UNNAMED,248534.3484,6016111.348,200,,,,,,,,1,0
Kakwa,2000,1039663,UNNAMED,247836.8416,6008201.165,150,1,,,,,,,,0
Kakwa,2000,1039665,UNNAMED,193868.7796,6016991.889,200,,,,,,,,3,0
Kakwa,2000,1039667,UNNAMED,245736.9085,6032112.521,198,5,,,,,,,,0
Kakwa,2000,1039669,UNNAMED,217387.3488,6000332.457,165,,1,,,,,,,0.606060606
Kakwa,2000,1039670,BEAVERDAM CREEK,217970.1591,6001612.345,175,,1,,,,,,,0.571428571
Kakwa,2000,1039671,DANIEL CREEK,218477.7183,6014787.245,426,,1,,,,,,1,0.234741784
Kakwa,2000,1039672,UNNAMED,265150.4164,6025908.02,400,1,,,1,,2,,3,0
Kakwa,2000,1039673,CAW CREEK,208278.0389,5996736.724,203,,5,,,,,,,2.463054187
Kakwa,2000,1039679,UNNAMED,266767.4948,6044505.27,307,,,1,,,,,,0
Kakwa,2000,1039682,UNNAMED,268516.6628,6030190.196,217,,,,1,1,,,1,0
Kakwa,2000,1039684,UNNAMED,263845.9972,6036119.414,205,2,,,,,,,,0
Kakwa,2000,1039687,PRAIRIE CREEK,254086.7366,6013695.048,235,,2,,,,,,1,0.85106383
Kakwa,2000,1039694,UNNAMED,237624.5821,6018053.614,200,,1,,,,,,4,0.5
Kakwa,2000,1039695,PRAIRIE CREEK,243879.9088,6006737.907,300,,1,,,,,,3,0.333333333
Kakwa,2000,1039697,BEAVERDAM CREEK,218520.9932,5995539.438,200,,23,,,,,,,11.5
Kakwa,2000,1039701,LAFORCE CREEK,221757.7375,5999324.874,176,,1,,,,,,1,0.568181818
Kakwa,2000,1039705,LYNX CREEK,201753.849,6016412.697,345,,6,,,,8,6,,1.739130435
Kakwa,2000,1039708,UNNAMED,222598.8474,6029027.599,200,,1,,,,,,,0.5
Kakwa,,Grand Total,,,,,11,45,4,2,1,10,6,19,0.95780972
Kakwa,,,,,,,,,,,,,,,
Kakwa,,2005,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,MNWH,RNTR,SLSC,BLTR #/100m,,,
Kakwa,2005,1081945,COPTON CREEK,219307.5597,6004259.39,525,,,1,,97,,,,0
Kakwa,2005,1081947,COPTON CREEK,220750.6792,6011887.604,700,4,2,68,,36,,,,0.285714286
Kakwa,2005,1081948,UNNAMED,216733.2698,5999757.216,245,,3,,,,,,,1.224489796
Kakwa,2005,1081949,UNNAMED,216871.7121,5999971.348,245,,7,,,,,,,2.857142857
Kakwa,2005,,,,,345,,7,,,,,,,2.028985507
Kakwa,2005,1081950,UNNAMED,216535.8251,5998310.993,200,,5,,,,,,,2.5
Kakwa,2005,1081951,BEAVERDAM CREEK,218540.1882,5996060.348,245,,7,,,,,,,2.857142857
Kakwa,2005,,,,,445,,6,,,,,,,1.348314607
Kakwa,2005,1081952,BEAVERDAM CREEK,218523.108,5995537.524,245,,9,,,,,,,3.673469388
Kakwa,2005,,,,,445,,9,,,,,,,2.02247191
Kakwa,2005,1081954,PRAIRIE CREEK,225377.7038,6001801.903,150,,2,,,,,,,1.333333333
Kakwa,2005,1081955,DANIEL CREEK,216869.8404,6013913.015,245,,,1,1,2,,,,0
Kakwa,2005,1081956,UNNAMED,216424.2056,5998832.368,245,,9,,,,,,,3.673469388
Kakwa,2005,,,,,345,,7,,,,,,,2.028985507
Kakwa,2005,1081957,UNNAMED,216335.5874,5998631.468,150,,1,,,,,,,0.666666667
Kakwa,2005,1081958,UNNAMED,216088.2523,5998453.265,150,,4,,,,,,,2.666666667
Kakwa,2005,1081959,GRIZZLY CREEK,212839.5583,6002414.168,245,,10,,,,,,,4.081632653
Kakwa,2005,,,,,345,,3,,,3,,,,0.869565217
Kakwa,2005,1081960,BEAVERDAM CREEK,218164.9115,5997182.042,245,,7,,,,,,,2.857142857
Kakwa,2005,,,,,345,,3,,,,,,,0.869565217
Kakwa,2005,1081961,BEAVERDAM CREEK,217410.049,6000095.058,245,,1,,,2,,,,0.408163265
Kakwa,2005,1081962,UNNAMED,217425.1139,6000353.901,245,,5,,,,,,,2.040816327
Kakwa,2005,,,,,345,,2,,,,,,,0.579710145
Kakwa,2005,1081963,UNNAMED,217421.8338,6000886.907,210,,,,,3,,,,0
Kakwa,2005,1081964,UNNAMED,216912.08,6000060.777,245,,8,,,,,,,3.265306122
Kakwa,2005,,,,,345,,5,,,,,,,1.449275362
Kakwa,2005,1081965,BEAVERDAM CREEK,219084.976,6003251.09,525,,9,13,1,1,,,,1.714285714
Kakwa,2005,,,,,625,,2,9,1,,,,,0.32
Kakwa,2005,1081966,BEAVERDAM CREEK,218609.4348,6002344.663,525,,9,30,2,,,,,1.714285714
Kakwa,2005,,,,,625,,4,20,1,,,,,0.64
Kakwa,,Grand Total,,,,,4,146,142,6,144,1.665886712,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,2006,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,MNWH,RNTR,SLSC,BLTR #/100m,,,
Kakwa,2006,1093813,LYNX CREEK,204101.5224,6016881.203,190,,,,,6,,,,0
Kakwa,2006,1093814,LYNX CREEK,202371.9445,6016657.093,190,1,1,2,,5,,,,0.526315789
Kakwa,2006,1093815,LYNX CREEK,200974.8934,6016305.382,190,,5,4,2,3,,,,2.631578947
Kakwa,2006,1093816,LYNX CREEK,198697.7916,6015551.353,190,,3,4,2,2,,,,1.578947368
Kakwa,2006,1093817,LYNX CREEK,197510.3026,6014472.173,190,,4,9,5,1,,,,2.105263158
Kakwa,2006,1093818,LYNX CREEK,197661.7523,6015117.433,190,,3,5,4,1,,,,1.578947368
Kakwa,2006,1093819,LYNX CREEK,198266.9212,6013097.68,190,,8,,5,1,,,,4.210526316
Kakwa,2006,1093820,LYNX CREEK,197356.0919,6011293.204,190,,22,,,,,,,11.57894737
Kakwa,2006,1093821,LYNX CREEK,196430.8024,6010884.084,190,,9,,2,,,,,4.736842105
Kakwa,2006,1093822,LYNX CREEK,195696.6981,6010439.491,190,,7,,2,,,,,3.684210526
Kakwa,2006,1093823,GRIZZLY CREEK,211462.5562,6002146.963,160,,5,,,,,,,3.125
Kakwa,2006,1093824,GRIZZLY CREEK,211839.2187,6002125.307,160,,1,,,,,,,0.625
Kakwa,2006,1093825,GRIZZLY CREEK,212830.9938,6002411.355,160,,5,,,,,,,3.125
Kakwa,2006,1093826,GRIZZLY CREEK,212265.0179,6002249.31,160,,14,,,,,,,8.75
Kakwa,2006,1093827,GRIZZLY CREEK,213916.9973,6003124.211,160,,28,,,1,,,,17.5
Kakwa,2006,1093828,GRIZZLY CREEK,216187.6976,6003941.423,160,,5,1,,,,,,3.125
Kakwa,,Grand Total,,,,,1,120,25,22,20,4.305098684,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,2007,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,RNTR,SLSC,BLTR #/100m,,,,
Kakwa,2007,1111412,UNNAMED,270666.2205,6024161.927,250,4,1,,17,,,,,0.4
Kakwa,2007,1111413,UNNAMED,270211.737,6025775.787,250,3,,1,4,,,,,0
Kakwa,,Grand Total,,,,,7,1,1,21,0.2,,,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,2008,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),BLTR,LNDC,LNSC,MNWH,RNTR,SLSC,BLTR #/100m,,
Kakwa,2008,2213646,LYNX CREEK,203913.387,6016950.573,300,5,,,2,2,42,,,1.666666667
Kakwa,2008,2213647,LYNX CREEK,204218.903,6016783.821,300,2,1,,7,1,40,,,0.666666667
Kakwa,2008,2213652,UNNAMED,211459.248,6024509.071,300,12,,,,,,,,4
Kakwa,2008,2213653,UNNAMED,211459.246,6024510.075,300,31,,,,,,,,10.33333333
Kakwa,2008,2213655,UNNAMED,209672.545,6022767.465,250,3,,,,,,,,1.2
Kakwa,2008,2213656,UNNAMED,209975.3,6022575.814,200,27,,,,,,,,13.5
Kakwa,2008,2213659,RAVINE CREEK,205519.36,6019376.827,300,5,,,,2,,,,1.666666667
Kakwa,2008,2213660,RAVINE CREEK,205767.622,6019273.756,300,,,,,1,,,,0
Kakwa,2008,2213661,UNNAMED,206513.238,6020263.319,300,,,,,12,,,,0
Kakwa,2008,2213662,UNNAMED,206632.876,6020036.768,300,,,,,23,,,,0
Kakwa,2008,2656614,BEAVERDAM CREEK,217408.917,6000102.265,200,7,,,,,,,,3.5
Kakwa,2008,2656616,BEAVERDAM CREEK,218466.249,5995102.892,200,7,,,1,,5,,,3.5
Kakwa,2008,2656617,BEAVERDAM CREEK,218910.196,6003113.852,200,8,,1,,16,50,,,4
Kakwa,,Grand Total,,,,,107,1,1,10,57,137,3.387179487,,
Kakwa,,,,,,,,,,,,,,,
Kakwa,,2012,,,,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),BURB,BLTR #/100m,,,,,,,
Kakwa,2012,2929625,UNNAMED,268611.508,6047864.891,400,1,,,,,,,,0
Kakwa,,Grand Total,,,,,1,0,,,,,,,